match_id,minute,value
25-26-champions-league-chelsea-vs-atalanta,80,20
25-26-champions-league-chelsea-vs-atalanta,81,12
25-26-champions-league-chelsea-vs-atalanta,82,11
25-26-champions-league-chelsea-vs-atalanta,83,-53
25-26-champions-league-chelsea-vs-atalanta,84,-25
25-26-champions-league-chelsea-vs-atalanta,85,-12
25-26-champions-league-chelsea-vs-atalanta,86,-4
25-26-champions-league-chelsea-vs-atalanta,87,-26
25-26-champions-league-chelsea-vs-atalanta,88,-1
25-26-champions-league-chelsea-vs-atalanta,89,14
25-26-champions-league-chelsea-vs-atalanta,90,48
25-26-champions-league-chelsea-vs-atalanta,90.5,84
25-26-champions-league-liverpool-vs-inter,1,1
25-26-champions-league-liverpool-vs-inter,2,1
25-26-champions-league-liverpool-vs-inter,3,1
25-26-champions-league-liverpool-vs-inter,4,1
25-26-champions-league-liverpool-vs-inter,5,18
25-26-champions-league-liverpool-vs-inter,6,2
25-26-champions-league-liverpool-vs-inter,7,-14
25-26-champions-league-liverpool-vs-inter,8,-6
25-26-champions-league-liverpool-vs-inter,9,22
25-26-champions-league-liverpool-vs-inter,10,9
25-26-champions-league-liverpool-vs-inter,11,10
25-26-champions-league-liverpool-vs-inter,12,5
25-26-champions-league-liverpool-vs-inter,13,-5
25-26-champions-league-liverpool-vs-inter,14,5
25-26-champions-league-liverpool-vs-inter,15,-3
25-26-champions-league-liverpool-vs-inter,16,2
25-26-champions-league-liverpool-vs-inter,17,5
25-26-champions-league-liverpool-vs-inter,18,39
25-26-champions-league-liverpool-vs-inter,19,65
25-26-champions-league-liverpool-vs-inter,20,59
25-26-champions-league-liverpool-vs-inter,21,37
25-26-champions-league-liverpool-vs-inter,22,60
25-26-champions-league-liverpool-vs-inter,23,14
25-26-champions-league-liverpool-vs-inter,24,14
25-26-champions-league-liverpool-vs-inter,25,-8
25-26-champions-league-liverpool-vs-inter,26,7
25-26-champions-league-liverpool-vs-inter,27,-25
25-26-champions-league-liverpool-vs-inter,28,15
25-26-champions-league-liverpool-vs-inter,29,41
25-26-champions-league-liverpool-vs-inter,30,24
25-26-champions-league-liverpool-vs-inter,31,13
25-26-champions-league-liverpool-vs-inter,32,59
25-26-champions-league-liverpool-vs-inter,33,33
25-26-champions-league-liverpool-vs-inter,34,-28
25-26-champions-league-liverpool-vs-inter,35,14
25-26-champions-league-liverpool-vs-inter,36,-31
25-26-champions-league-liverpool-vs-inter,37,-23
25-26-champions-league-liverpool-vs-inter,38,-15
25-26-champions-league-liverpool-vs-inter,39,-43
25-26-champions-league-liverpool-vs-inter,40,-64
25-26-champions-league-liverpool-vs-inter,41,-39
25-26-champions-league-liverpool-vs-inter,42,-27
25-26-champions-league-liverpool-vs-inter,43,-68
25-26-champions-league-liverpool-vs-inter,44,-43
25-26-champions-league-liverpool-vs-inter,45,-48
25-26-champions-league-liverpool-vs-inter,45.5,-53
25-26-champions-league-liverpool-vs-inter,46,-5
25-26-champions-league-liverpool-vs-inter,47,-14
25-26-champions-league-liverpool-vs-inter,48,25
25-26-champions-league-liverpool-vs-inter,49,20
25-26-champions-league-liverpool-vs-inter,50,31
25-26-champions-league-liverpool-vs-inter,51,15
25-26-champions-league-liverpool-vs-inter,52,-20
25-26-champions-league-liverpool-vs-inter,53,-2
25-26-champions-league-liverpool-vs-inter,54,11
25-26-champions-league-liverpool-vs-inter,55,14
25-26-champions-league-liverpool-vs-inter,56,19
25-26-champions-league-liverpool-vs-inter,57,42
25-26-champions-league-liverpool-vs-inter,58,30
25-26-champions-league-liverpool-vs-inter,59,37
25-26-champions-league-liverpool-vs-inter,60,35
25-26-champions-league-liverpool-vs-inter,61,-43
25-26-champions-league-liverpool-vs-inter,62,-6
25-26-champions-league-liverpool-vs-inter,63,5
25-26-champions-league-liverpool-vs-inter,64,24
25-26-champions-league-liverpool-vs-inter,65,-17
